"","country","china","development","diplomacy","environment","fisheries","indigenous","legal","resources","russia","security","tourism","transport"
"1","Canada",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"2","Canada",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Canada",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"4","Canada",NA,NA,NA,NA,NA,"high",NA,NA,NA,NA,NA,NA
"5","Canada",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"7","Canada",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"8","Canada",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"9","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"10","Canada",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"11","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"12","China",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"13","China",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","China",NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA,NA
"15","China",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"16","China",NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"18","China",NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA,NA
"19","China",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"20","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"21","China","high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","China",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"23","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA
"24","Denmark",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"25","Denmark",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Denmark",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"27","Denmark",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"28","Denmark",NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"30","Denmark",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"31","Denmark",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"32","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA
"33","Denmark","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"35","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"36","Finland",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"37","Finland",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Finland",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
