"","country","development","diplomacy","environment","fisheries","indigenous","legal","resources","security","tourism","transport"
"1","Canada",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA
"2","Canada",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA
"3","Canada",NA,NA,NA,NA,NA,"low",NA,NA,NA,NA
"4","Canada",NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA
"5","Canada","high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"7","Canada",NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA
"8","Canada",NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA
"9","Canada",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"10","Canada",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"11","China",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA
"12","China",NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"13","China",NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"14","China",NA,NA,NA,NA,"high",NA,NA,NA,NA,NA
"15","China","high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"17","China",NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA
"18","China",NA,NA,NA,NA,NA,NA,"high",NA,NA,NA
"19","China",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA
"20","China",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"21","Denmark",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA
"22","Denmark",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA
"23","Denmark",NA,NA,NA,NA,NA,"low",NA,NA,NA,NA
"24","Denmark",NA,NA,NA,NA,"high",NA,NA,NA,NA,NA
"25","Denmark","high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"27","Denmark",NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA
"28","Denmark",NA,NA,NA,NA,NA,NA,"high",NA,NA,NA
"29","Denmark",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"30","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,"low",NA
"31","Finland",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA
"32","Finland",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA
